Date,Timestamp,Scr_IP,Scr_port,Des_IP,Des_port,Protocol,Service,Duration,Scr_bytes,Des_bytes,Conn_state,missed_bytes,is_syn_only,Is_SYN_ACK,is_pure_ack,is_with_payload,FIN or RST,Bad_checksum,is_SYN_with_RST,Scr_pkts,Scr_ip_bytes,Des_pkts,Des_ip_bytes,anomaly_alert,total_bytes,total_packet,paket_rate,byte_rate,Scr_packts_ratio,Des_pkts_ratio,Scr_bytes_ratio,Des_bytes_ratio,Avg_user_time,Std_user_time,Avg_nice_time,Std_nice_time,Avg_system_time,Std_system_time,Avg_iowait_time,Std_iowait_time,Avg_ideal_time,Std_ideal_time,Avg_tps,Std_tps,Avg_rtps,Std_rtps,Avg_wtps,Std_wtps,Avg_ldavg_1,Std_ldavg_1,Avg_kbmemused,Std_kbmemused,Avg_num_Proc/s,Std_num_proc/s,Avg_num_cswch/s,std_num_cswch/s,OSSEC_alert,OSSEC_alert_level,Login_attempt,Succesful_login,File_activity,Process_activity,read_write_physical.process,is_privileged,class1,class2,class3
9/01/2020,1578541391,192.168.2.199,40912,192.168.2.10,4055,tcp,other,0.000014,-,-,0,0,True,False,False,False,True,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,2.805,2.60209627,1.621,1.172855064,2.198,1.291656301,0.583,0.498558923,92.796,3.978452463,24.6,15.86946754,9.2,9.30376268,15.4,13.13925416,0.548,0.206726873,914420.4,1816.448799,1.099,0.70014927,1307.832,242.3592829,0,0,0,0,0,0,0,0,Scanning_vulnerability,Reconnaissance,Attack
7/01/2020,1578373733,192.168.2.199,50752,192.168.2.10,1033,tcp,other,0.000501,-,-,0,0,True,False,False,False,True,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,1.483,1.911041862,1.01,0.55049069,1.612,1.212697819,0.935,0.230618733,94.962,2.827262987,17.6,9.07964757,7.9,9.148223871,9.7,1.187434209,0.496,0.028,916730,654.8654824,2.4,4.882622246,1211.9,261.7573113,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
11/02/2020,1581390564,192.168.2.10,54750,192.168.10.150,1883,tcp,mqtt,0.00034,0,0,0,0,True,True,True,False,True,False,False,3,164,1,60,FALSE,224,4,11764.70588,658823.5294,0.75,0.25,0.732142857,0.267857143,19.878,15.19595723,2.114,1.287083525,4.1,2.350702023,4.01,6.260463242,69.898,19.95328384,29.7,26.5670849,17,20.75090359,12.7,15.9940614,0.625,0.035,913062,4418.533422,0.2,0.6,1434.1,377.4428301,0,0,0,0,0,0,1,0,MQTT_cloud_broker_subscription,Lateral _movement,Attack
3/02/2020,1580694602,10.0.1.1,41353,10.0.1.5,502,tcp,modbus,1.204236,4800,4400,1,0,True,True,True,True,True,False,False,405,25868,404,25416,FALSE,60484,809,671.7952295,50226.03543,0.500618047,0.499381953,0.507043185,0.492956815,5.047,5.943044758,1.814,1.722789598,2.295,1.279423698,0.33,0.164012195,90.517,8.594436631,9.2,1.833030278,0,0,9.2,1.833030278,0.727,0.054781384,912401.6,3006.882346,0.3,0.458257569,1181.4,273.1842602,0,0,0,0,0,0,1,0,Modbus_register_reading,Lateral _movement,Attack
14/01/2020,1578957388,192.168.10.153,51988,192.168.2.10,80,tcp,http,4.994442,436,19402,1,0,True,True,True,True,True,False,False,13,968,18,20134,FALSE,40940,31,6.20689959,8197.11191,0.419354839,0.580645161,0.034294089,0.965705911,8.637,6.343075043,2.565,2.031724637,3.058,0.959997917,9.856,19.0985634,75.88,19.6733993,15.4,11.85073837,0.1,0.3,15.3,11.70512708,1.285,0.047169906,913697.2,3689.564549,3.3,2.282542442,1771.1,579.0834914,0,0,0,0,0,0,1,0,Normal,Normal,Normal
9/01/2020,1578542789,192.168.2.199,33654,192.168.2.10,535,tcp,other,0.000021,0,0,0,0,True,False,False,False,True,False,False,1,60,1,40,FALSE,100,2,95238.09524,4761904.762,0.5,0.5,0.6,0.4,6.523,6.07937176,2.66,1.403424383,3.408,2.563215949,0.354,0.260276776,87.054,7.736539537,21.89,12.98956889,12.799,13.03010395,9.091,1.136894454,0.825,0.035,914762.8,2614.998616,3.1,2.808914381,1578.8,393.7089788,0,0,0,0,0,0,0,0,Scanning_vulnerability,Reconnaissance,Attack
25/02/2020,1582602012,172.24.1.199,137,172.24.1.255,137,udp,netbios-ns,44.496076,900,0,1,0,False,False,False,True,False,False,False,18,1404,0,0,FALSE,2304,18,0.404530053,51.77984683,1,0,1,0,3.299,1.439468305,1.269,1.210507745,3.502,0.768294214,0.456,0.354462974,91.478,1.789401017,11.8,5.344155686,1,3,10.8,4.142463035,0.438,0.031240999,915653.6,1275.403246,11.1,4.784349486,1547.9,219.1658961,0,0,1,1,1,1,0,1,Normal,Normal,Normal
7/01/2020,1578373301,192.168.2.199,54242,192.168.2.10,5902,tcp,other,0.000137,-,-,0,0,True,False,False,False,True,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,6.179,5.381719892,0.731,0.308980582,1.895,0.922531842,0.583,0.428393511,90.609,5.679886354,28.6,26.11972435,19.6,26.30285156,9,1.341640786,0.351,0.019209373,914003.2,2309.136497,2.4,4.882622246,1471.3,333.5014393,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
24/02/2020,1582504415,172.24.1.244,52196,172.24.1.1,5683,udp,coap,39.078258,1124,72,1,0,False,False,False,True,False,False,False,2,1180,1,100,FALSE,2476,3,0.076769031,63.36004026,0.666666667,0.333333333,0.930533118,0.069466882,27.216,5.701738682,1.655,0.981684776,13.101,2.007528082,0.104,0.127451952,57.925,8.415051099,3.3,0.9,0,0,3.3,0.9,2.54,0.02,914561.6,5382.002066,0,0,16543.8,1221.72352,0,0,0,0,0,0,1,0,RDOS,RDOS,Attack
15/01/2020,1579041469,192.168.2.199,53814,192.168.2.10,80,tcp,http,0.219307,-,-,1,0,True,True,True,True,True,False,False,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,7.6,6.478590896,6.625,1.178280527,5.453,2.012158294,0.155,0.171886591,80.167,8.902827697,11.7,8.21035931,7.6,7.605261337,4.1,2.022374842,1.351,0.022113344,920244.8,1910.913331,0.8,0.4,2486.3,141.2558317,0,0,0,0,0,0,0,0,BruteForce,Weaponization,Attack
