,precision,recall,f1-score,support
Backdoor,0.9639,0.8939,0.9275,179.0
DDoS_HTTP,0.6193,0.5694,0.5933,360.0
DDoS_ICMP,0.9844,0.9809,0.9827,839.0
DDoS_TCP,0.8712,0.8809,0.876,361.0
DDoS_UDP,0.9886,0.9863,0.9874,876.0
Fingerprinting,0.1923,0.7143,0.303,7.0
MITM,0.36,1.0,0.5294,9.0
Normal,1.0,1.0,1.0,11649.0
Password,0.4591,0.4337,0.446,362.0
Port_Scanning,0.7725,0.7914,0.7818,163.0
Ransomware,0.9756,0.5063,0.6667,79.0
SQL_injection,0.6004,0.7696,0.6746,369.0
Uploading,0.6354,0.4244,0.5088,271.0
Vulnerability_scanner,0.8393,0.8393,0.8393,361.0
XSS,0.3129,0.4435,0.3669,115.0
